pakiet,wersja,bezpośredni_odbiorcy_w_grafie
accesskit_consumer,0.35.0,accesskit_windows 0.32.1
accesskit_consumer,0.36.0,accesskit_atspi_common 0.18.1
accesskit_consumer,0.38.0,accesskit_macos 0.26.3
addr2line,0.25.1,backtrace 0.3.76
addr2line,0.26.1,wasmtime 46.0.0
aes,0.8.4,aes-gcm 0.10.3; dtls 0.17.1; webrtc-srtp 0.17.1; zip 0.6.6
aes,0.9.1,tentaflow-hardware 0.1.0; zip 8.6.0
ahash,0.7.8,hashbrown 0.12.3
ahash,0.8.12,burn-core 0.21.0; cubecl-runtime 0.10.0; eframe 0.34.3; egui 0.34.3; egui-wgpu 0.34.3; egui_extras 0.34.3; epaint 0.34.3; hashbrown 0.13.2; tokenizers 0.22.2; tokenizers 0.23.2; winit 0.30.13
approx,0.3.2,rusttype 0.8.3
approx,0.5.1,cozo 0.7.6; nalgebra 0.35.0; simba 0.10.0; smartcore 0.5.0; tentaflow-slam 0.1.0
asn1-rs,0.6.2,der-parser 9.0.0; oid-registry 0.7.1; x509-parser 0.16.0
asn1-rs,0.7.1,der-parser 10.0.0; oid-registry 0.8.1; x509-parser 0.18.1
asn1-rs-derive,0.5.1,asn1-rs 0.6.2
asn1-rs-derive,0.6.0,asn1-rs 0.7.1
base16ct,0.2.0,elliptic-curve 0.13.8; sec1 0.7.3
base16ct,1.0.0,serdect 0.4.3
base64,0.13.1,gltf 1.4.1; spm_precompiled 0.1.4
base64,0.21.7,cozo 0.7.6; ron 0.8.1
base64,0.22.1,attohttpc 0.30.1; bollard 0.21.0; cel 0.13.0; chromiumoxide 0.9.1; hyper-util 0.1.20; jsonwebtoken 10.4.0; milvus-sdk-rust 0.1.0; pem 3.0.6; portmapper 0.19.3; reqwest 0.12.28; reqwest 0.13.3; stun 0.17.1; tentaflow-addon-go2 0.0.1; tentaflow-addon-sdk 0.1.0; tentaflow-addon-tentavision 0.0.1; tentaflow-cli 0.1.0; tentaflow-core 0.1.0; tentaflow-hardware 0.1.0; tentaflow-teams-bot 0.1.0; tokio-rustls-acme 0.9.0; tokio-websockets 0.13.2; tonic 0.13.1; turn 0.17.1; ureq 2.12.1; ureq 3.3.0; ureq-proto 0.6.0; wasmtime-internal-cache 46.0.0; wiremock 0.6.5
base64,0.23.1,plist 1.10.1
bincode,1.3.3,fast2s 0.3.1; swapvec 0.3.0
bincode,2.0.1,burn-core 0.21.0
bindgen,0.69.5,sherpa-rs-sys 0.6.8
bindgen,0.71.1,tracel-tblgen-rs 20.1.4-7
bindgen,0.72.1,llama-cpp-sys-2 0.1.146; tentaflow-zvec-sys 0.1.0; whisper-rs-sys 0.15.0
bit-set,0.10.0,tract-core 0.23.3
bit-set,0.8.0,antlr4rust 0.5.2; fancy-regex 0.17.0
bit-set,0.9.1,naga 29.0.1; wgpu-core 29.0.1; wgpu-hal 29.0.1
bit-vec,0.8.0,bit-set 0.8.0
bit-vec,0.9.1,bit-set 0.10.0; bit-set 0.9.1; wgpu-core 29.0.1; yasna 0.6.0
bitflags,1.3.2,concolor 0.1.1; core-graphics 0.23.2; core-graphics-types 0.1.3; nix 0.26.4; png 0.17.16; portable-pty 0.9.0; redox_syscall 0.2.16; redox_syscall 0.4.1; webrtc-util 0.17.1
