# Known violations, one per (rule, file). Generated by `cargo xtask lint --update-baseline`.
# This list may only shrink. A value better than recorded is reported as stale,
# which is the mechanism that makes the gates tighten over time.
# rule	path	allowed
batch_antipattern	crates/forge-kernels/src/launchers.rs	1
batch_antipattern	kernels/mojo/bench-amd/bench_gemv_nvfp4_wave.mojo	1
batch_antipattern	kernels/mojo/bench-amd/bench_tier_read.mojo	5
batch_antipattern	kernels/mojo/bench_gemv.mojo	6
batch_antipattern	kernels/mojo/bench_nvfp4_gguf_dp4a.mojo	2
batch_antipattern	kernels/mojo/bench_nvfp4_tile128_coop_decode.mojo	1
batch_antipattern	kernels/mojo/src/moe.mojo	1
batch_antipattern	kernels/mojo/test_attention_verify_split8.mojo	3
batch_antipattern	kernels/mojo/test_kernels.mojo	4
batch_antipattern	kernels/mojo/test_kernels2.mojo	1
batch_antipattern	kernels/mojo/test_nvfp4_ct_fp8_golden.mojo	3
batch_antipattern	kernels/mojo/test_nvfp4_ct_fp8_prefill_golden.mojo	3
batch_antipattern	kernels/mojo/test_nvfp4_gguf_batch.mojo	3
batch_antipattern	kernels/mojo/test_pack_nvfp4_fp8.mojo	3
batch_antipattern	kernels/mojo/test_q8_0_batch.mojo	4
env	crates/forge-cli/src/hf.rs	3
env	crates/forge-cli/src/main.rs	7
env	crates/forge-engine/src/model.rs	19
env	crates/forge-engine/src/server.rs	7
env	crates/forge-engine/src/weights.rs	5
env	crates/forge-hal/src/gpu.rs	1
env	crates/forge-kernels/src/launchers.rs	9
env	crates/forge-kernels/src/registry.rs	1
kernel_geometry	crates/forge-engine/src/model.rs	1
kernel_geometry	crates/forge-kernels/src/launchers.rs	44
kernel_geometry	crates/forge-kernels/src/registry.rs	90
kernel_geometry	kernels/mojo/build/gfx1030/manifest.json	9
kernel_geometry	kernels/mojo/build/gfx1100/manifest.json	30
kernel_geometry	kernels/mojo/build/gfx1201/manifest.json	34
kernel_geometry	kernels/mojo/build/sm_121a/manifest.json	57
kernel_geometry	kernels/mojo/build/sm_89/manifest.json	57
placeholder	crates/forge-engine/src/speculation/config.rs	1
placeholder	crates/forge-onnx/src/interp.rs	1
size	crates/forge-cli/src/main.rs	2813
size	crates/forge-engine/src/model.rs	21430
size	crates/forge-engine/src/server.rs	3259
size	crates/forge-engine/src/tensor_parallel.rs	1661
size	crates/forge-engine/src/weights.rs	5332
size	crates/forge-engine/tests/hybrid_state_pool_gpu.rs	3617
size	crates/forge-formats/src/arch.rs	2743
size	crates/forge-formats/src/iq_tables.rs	3969
size	crates/forge-kernels/src/launchers.rs	20421
size	crates/forge-kernels/src/registry.rs	3073
size	crates/forge-kernels/tests/golden.rs	3029
vendor_gate	crates/forge-kernels/src/launchers.rs	2
